920213,ต. เกาะลิบง,Ko Libong,9202,อ. กันตัง,Kantang,92,จ. ตรัง,Trang,99.394,7.303
830103,ต. เกาะแก้ว,Ko Kaeo,8301,อ. เมืองภูเก็ต,Mueang Phuket,83,จ. ภูเก็ต,Phuket,98.455,7.924
860706,ต. ด่านสวี,Dan Sawi,8607,อ. สวี,Sawi,86,จ. ชุมพร,Chumphon,99.243,10.222
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,อ. เมืองสตูล,Mueang Satun,91,จ. สตูล,Satun,99.269,6.524
840401,ต. อ่างทอง,Ang Thong,8404,อ. เกาะสมุย,Ko Samui,84,จ. สุราษฎร์ธานี,Surat Thani,99.675,9.706
840401,ต. อ่างทอง,Ang Thong,8404,อ. เกาะสมุย,Ko Samui,84,จ. สุราษฎร์ธานี,Surat Thani,99.659,9.661
820603,ต. เกาะพระทอง,Ko Phra Thong,8206,อ. คุระบุรี,Khura Buri,82,จ. พังงา,Phang-nga,97.876,9.472
860116,ต. หาดทรายรี,Hat Sai Ri,8601,อ. เมืองชุมพร,Mueang Chumphon,86,จ. ชุมพร,Chumphon,99.418,10.486
850502,ต. กำพวน,Kamphuan,8505,อ. สุขสำราญ,Suk Samran,85,จ. ระนอง,Ranong,98.374,9.500
230601,ต. เกาะหมาก,Ko Mak,2306,อ. เกาะกูด,Ko Kut,23,จ. ตราด,Trat,102.378,11.808
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,อ. เมืองสตูล,Mueang Satun,91,จ. สตูล,Satun,99.174,6.515
860116,ต. หาดทรายรี,Hat Sai Ri,8601,อ. เมืองชุมพร,Mueang Chumphon,86,จ. ชุมพร,Chumphon,99.425,10.506
920504,ต. ไม้ฝาด,Mai Fat,9205,อ. สิเกา,Sikao,92,จ. ตรัง,Trang,99.320,7.470
200701,ต. ศรีราชา,Si Racha,2007,อ. ศรีราชา,Si Racha,20,จ. ชลบุรี,Chon Buri,100.920,13.174
840401,ต. อ่างทอง,Ang Thong,8404,อ. เกาะสมุย,Ko Samui,84,จ. สุราษฎร์ธานี,Surat Thani,99.667,9.681
860116,ต. หาดทรายรี,Hat Sai Ri,8601,อ. เมืองชุมพร,Mueang Chumphon,86,จ. ชุมพร,Chumphon,99.295,10.349
810106,ต. เขาทอง,Khao Thong,8101,อ. เมืองกระบี่,Mueang Krabi,81,จ. กระบี่,Krabi,98.676,8.049
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,อ. เมืองสตูล,Mueang Satun,91,จ. สตูล,Satun,99.366,6.485
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,อ. เมืองสตูล,Mueang Satun,91,จ. สตูล,Satun,99.876,6.655
840401,ต. อ่างทอง,Ang Thong,8404,อ. เกาะสมุย,Ko Samui,84,จ. สุราษฎร์ธานี,Surat Thani,99.664,9.676
860706,ต. ด่านสวี,Dan Sawi,8607,อ. สวี,Sawi,86,จ. ชุมพร,Chumphon,99.249,10.208
840301,ต. ดอนสัก,Don Sak,8403,อ. ดอนสัก,Don Sak,84,จ. สุราษฎร์ธานี,Surat Thani,99.720,9.351
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,อ. เมืองสตูล,Mueang Satun,91,จ. สตูล,Satun,99.871,6.704
860102,ต. ปากน้ำ,Pak Nam,8601,อ. เมืองชุมพร,Mueang Chumphon,86,จ. ชุมพร,Chumphon,99.253,10.448
921003,ต. ตะเสะ,Tase,9210,อ. หาดสำราญ,Hat Samran,92,จ. ตรัง,Trang,99.639,7.144
230601,ต. เกาะหมาก,Ko Mak,2306,อ. เกาะกูด,Ko Kut,23,จ. ตราด,Trat,102.376,11.810
860801,ต. ปากตะโก,Pak Tako,8608,อ. ทุ่งตะโก,Thung Tako,86,จ. ชุมพร,Chumphon,99.163,10.132
840401,ต. อ่างทอง,Ang Thong,8404,อ. เกาะสมุย,Ko Samui,84,จ. สุราษฎร์ธานี,Surat Thani,99.664,9.702
860706,ต. ด่านสวี,Dan Sawi,8607,อ. สวี,Sawi,86,จ. ชุมพร,Chumphon,99.247,10.296
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,อ. เมืองสตูล,Mueang Satun,91,จ. สตูล,Satun,99.173,6.514
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,อ. เมืองสตูล,Mueang Satun,91,จ. สตูล,Satun,99.182,6.504
